word,negative,positive
didn't,1290.0,823.0
seem,587.0,492.0
powerful,67.0,235.0
marauder,1.0,0.0
many,1461.0,1919.0
except,350.0,198.0
taranitar,1.0,0.0
fight,281.0,277.0
scenes,1405.0,1186.0
made,2236.0,1906.0
ash,14.0,8.0
pikachu,4.0,2.0
meet,145.0,168.0
much,2565.0,2409.0
younger,89.0,146.0
professor,28.0,44.0
oak,3.0,1.0
don't,2517.0,1623.0
realise,27.0,38.0
misty,21.0,10.0
thinking,359.0,228.0
end,1481.0,1382.0
close,300.0,328.0
credits,196.0,131.0
expect,304.0,273.0
worst,1227.0,118.0
series,629.0,1116.0
aka,52.0,43.0
trinity,17.0,3.0
name,444.0,352.0
sequel,256.0,154.0
looks,793.0,455.0
capitalize,13.0,4.0
outstanding,41.0,171.0
european,71.0,68.0
box,173.0,130.0
office,120.0,135.0
success,98.0,164.0
joseph,34.0,68.0
e,185.0,211.0
levine,3.0,1.0
avco,1.0,0.0
embassy,8.0,1.0
pictures,88.0,120.0
wanted,411.0,289.0
america,133.0,178.0
well,2102.0,3189.0
hill,65.0,44.0
spencer,13.0,16.0
marginal,8.0,2.0
u,97.0,142.0
largely,52.0,62.0
boring,719.0,158.0
drawn,102.0,135.0
help,477.0,515.0
bambino,2.0,0.0
swear,38.0,15.0
dying,72.0,64.0
father,324.0,687.0
harry,56.0,171.0
carey,10.0,21.0
jr,68.0,104.0
become,290.0,440.0
successful,108.0,149.0
outlaws,2.0,6.0
take,881.0,905.0
care,391.0,291.0
each,439.0,830.0
later,440.0,638.0
involved,276.0,264.0
arms,41.0,39.0
traffickers,1.0,0.0
smuggle,2.0,1.0
guns,97.0,56.0
monastery,6.0,8.0
mistakenly,5.0,6.0
they're,389.0,245.0
pair,56.0,59.0
federal,11.0,10.0
agents,27.0,25.0
winds,29.0,25.0
up,3508.0,3227.0
falling,78.0,108.0
flat,198.0,82.0
spite,41.0,50.0
couple,455.0,413.0
especially,473.0,796.0
fancy,37.0,26.0
french,144.0,257.0
restaurant,26.0,27.0
carry,90.0,75.0
themselves,302.0,293.0
card,40.0,30.0
sharks,17.0,7.0
mildly,68.0,18.0
humorous,60.0,78.0
opening,266.0,240.0
title,397.0,333.0
music,661.0,821.0
sung,12.0,20.0
gene,36.0,104.0
roman,19.0,36.0
sounds,182.0,131.0
fair,127.0,105.0
bobby,32.0,48.0
goldsboro,1.0,0.0
pop,83.0,86.0
song,216.0,290.0
cues,10.0,8.0
sprinkled,9.0,5.0
throughout,282.0,378.0
pretty,1057.0,809.0
sure,684.0,641.0
want,1105.0,786.0
buy,173.0,175.0
cd,28.0,26.0
soundtrack,147.0,220.0
others,340.0,448.0
hour,364.0,204.0
whacked,8.0,10.0
wouldn't,319.0,182.0
dragged,47.0,17.0
long,900.0,892.0
lot,970.0,981.0
scenery,91.0,104.0
being,1717.0,1635.0
chewed,3.0,1.0
fact,897.0,850.0
lost,383.0,414.0
interest,274.0,225.0
rds,1.0,0.0
through,1224.0,1249.0
dvd,514.0,621.0
terrible,694.0,121.0
constant,71.0,71.0
hum,26.0,11.0
poor,739.0,204.0
print,44.0,64.0
sent,71.0,125.0
scrap,5.0,4.0
heap,18.0,4.0
sky,55.0,91.0
big,848.0,889.0
step,80.0,97.0
previous,147.0,158.0
totally,377.0,250.0
expected,198.0,156.0
called,404.0,321.0
even,3852.0,2478.0
notice,102.0,87.0
difference,96.0,112.0
strange,217.0,237.0
point,941.0,707.0
prequel,40.0,12.0
lets,91.0,77.0
sense,694.0,524.0
match,97.0,185.0
maybe,731.0,470.0
naive,49.0,66.0
ain't,56.0,28.0
vol,2.0,9.0
meant,172.0,152.0
carlito,15.0,4.0
jail,52.0,40.0
st,98.0,77.0
dies,90.0,77.0
original,980.0,639.0
lives,239.0,423.0
go,1290.0,1226.0
plot,1990.0,1197.0
ok,360.0,138.0
changed,109.0,133.0
round,53.0,72.0
actors,1213.0,966.0
started,284.0,220.0
opinion,222.0,265.0
post,111.0,121.0
please,334.0,172.0
lame,340.0,38.0
halfway,59.0,28.0
weak,263.0,113.0
couldn't,530.0,231.0
pay,190.0,124.0
full,402.0,479.0
attention,198.0,258.0
tell,479.0,382.0
believe,699.0,525.0
depiction,25.0,57.0
young,648.0,1135.0
somewhat,204.0,277.0
different,424.0,757.0
blame,109.0,29.0
script,1027.0,470.0
fallen,39.0,37.0
myself,295.0,229.0
laughing,134.0,129.0
few,1041.0,960.0
times,722.0,919.0
lines,447.0,305.0
intended,105.0,84.0
saving,93.0,56.0
grace,89.0,78.0
bought,121.0,98.0
set,600.0,634.0
paid,138.0,46.0
price,57.0,91.0
alone,269.0,271.0
cases,41.0,41.0
classic,303.0,631.0
stand,187.0,217.0
christ,65.0,23.0
cloying,3.0,2.0
films,1504.0,1847.0
decency,13.0,11.0
leave,268.0,294.0
songs,185.0,261.0
bar,84.0,100.0
reprise,6.0,8.0
unbearable,49.0,10.0
tomorrow,18.0,23.0
continue,74.0,85.0
tradition,24.0,53.0
nauseating,19.0,4.0
unfunny,125.0,9.0
annie,41.0,27.0
friends,400.0,512.0
head,444.0,316.0
london,93.0,122.0
caught,93.0,172.0
joan,50.0,82.0
collins's,1.0,0.0
blow,50.0,48.0
buckingham,1.0,0.0
palace,11.0,34.0
shite,3.0,0.0
bizarrely,9.0,5.0
sycophantic,2.0,2.0
attitude,36.0,77.0
towards,140.0,181.0
eponymous,7.0,11.0
character,1678.0,1722.0
odds,13.0,34.0
irritating,92.0,25.0
little,1541.0,1702.0
bugger,4.0,1.0
squeals,2.0,1.0
leapin',1.0,0.0
lizards,5.0,2.0
feel,640.0,788.0
teeth,59.0,38.0
grinding,5.0,1.0
powder,8.0,2.0
drearily,2.0,0.0
photographed,19.0,35.0
slushy,2.0,0.0
plodding,19.0,4.0
memorable,103.0,237.0
unhand,1.0,0.0
genius,77.0,160.0
oscar,127.0,311.0
golden,42.0,94.0
globe,10.0,32.0
shows,462.0,761.0
perennial,2.0,10.0
razzie,14.0,1.0
nominee,2.0,10.0
indication,27.0,11.0
needs,213.0,228.0
ads,15.0,5.0
shouldn't,107.0,66.0
talk,225.0,182.0
cell,50.0,41.0
phone,100.0,61.0
driving,76.0,55.0
night,573.0,533.0
crowded,9.0,4.0
mall,38.0,13.0
susan,38.0,35.0
montford,5.0,0.0
stick,156.0,79.0
producing,30.0,20.0
shoot,152.0,60.0
'em,27.0,25.0
writer,313.0,255.0
director,1131.0,955.0
accosted,1.0,2.0
four,220.0,239.0
thugs,30.0,18.0
parking,15.0,11.0
gun,186.0,122.0
starts,350.0,295.0
pushing,25.0,38.0
cursing,9.0,7.0
knows,193.0,248.0
martial,72.0,72.0
arts,66.0,66.0
manages,123.0,142.0
gets,859.0,732.0
crashing,15.0,13.0
run,330.0,285.0
someones,9.0,2.0
house,533.0,543.0
chasing,33.0,32.0
lady,171.0,197.0
toolbox,6.0,2.0
course,541.0,683.0
wrench,3.0,0.0
ha,57.0,21.0
tire,9.0,25.0
iron,22.0,17.0
screwdriver,2.0,1.0
now,1064.0,1149.0
she's,381.0,312.0
home,418.0,503.0
christmas,146.0,136.0
brought,114.0,245.0
texas,58.0,47.0
seven,81.0,107.0
celebrate,10.0,8.0
halloween,58.0,69.0
before,1071.0,1075.0
going,1138.0,886.0
party,123.0,156.0
meanwhile,57.0,66.0
american,487.0,647.0
nightmare,94.0,66.0
pirate,8.0,15.0
radio,48.0,89.0
fun,498.0,839.0
confess,26.0,17.0
innermost,2.0,4.0
fears,12.0,51.0
serial,94.0,91.0
killer,418.0,260.0
listening,41.0,47.0
confessions,3.0,10.0
nightmares,34.0,30.0
true,436.0,739.0
killing,222.0,134.0
sadistic,32.0,19.0
weird,190.0,132.0
budget,638.0,312.0
horrible,532.0,79.0
beginning,326.0,368.0
without,751.0,817.0
explanation,97.0,37.0
woman,604.0,702.0
kills,144.0,103.0
couples,25.0,26.0
isolated,32.0,27.0
camping,17.0,6.0
area,81.0,82.0
friday,58.0,32.0
th,155.0,212.0
shifts,8.0,17.0
celebrating,7.0,11.0
moment,264.0,294.0
potential,215.0,105.0
unknown,56.0,76.0
cast,806.0,1064.0
reasonable,46.0,22.0
performance,461.0,971.0
showing,168.0,235.0
beautiful,302.0,782.0
breasts,45.0,12.0
naked,139.0,74.0
bodies,58.0,43.0
usual,194.0,271.0
type,268.0,303.0
c,149.0,149.0
production,496.0,413.0
screenplay,178.0,184.0
provide,82.0,91.0
instinct,22.0,18.0
motives,32.0,30.0
behavior,67.0,64.0
nurse,38.0,27.0
jane,96.0,184.0
toppan,2.0,0.0
giving,203.0,210.0
sensation,4.0,7.0
ended,149.0,116.0
finalization,1.0,0.0
shooting,128.0,98.0
conclusion,131.0,125.0
slasher,155.0,75.0
vote,46.0,64.0
brazil,12.0,45.0
agonia,1.0,0.0
agony,18.0,10.0
surely,114.0,88.0
leading,133.0,190.0
contenders,2.0,1.0
'how,4.0,3.0
ruin,62.0,38.0
final,288.0,341.0
minutes',3.0,0.0
award,78.0,150.0
naturally,68.0,52.0
mix,92.0,96.0
quaint,8.0,11.0
cornish,1.0,0.0
village,53.0,79.0
populated,18.0,9.0
retired,13.0,30.0
genteel,2.0,4.0
ladies,58.0,72.0
liberal,34.0,33.0
dose,14.0,18.0
marijuana,8.0,16.0
certain,179.0,225.0
amount,137.0,117.0
silliness,20.0,18.0
ensue,14.0,14.0
descend,4.0,2.0
ludicrous,72.0,17.0
redeemed,8.0,4.0
particularly,255.0,271.0
real,1111.0,1306.0
shame,202.0,123.0
comedy,700.0,884.0
's,521.0,647.0
waking,11.0,14.0
ned,23.0,55.0
devine,5.0,0.0
portrayed,130.0,187.0
picturesque,7.0,11.0
small,327.0,467.0
oddball,7.0,11.0
inhabitants,14.0,20.0
trying,727.0,506.0
extract,5.0,3.0
tricky,6.0,8.0
situation,142.0,190.0
protagonist,50.0,64.0
middle,273.0,226.0
aged,49.0,53.0
widowed,9.0,16.0
trevethyn,1.0,2.0
whose,210.0,306.0
husband's,18.0,20.0
legacy,22.0,13.0
debts,5.0,10.0
forced,182.0,132.0
unconventional,4.0,18.0
earning,6.0,7.0
helped,78.0,90.0
gardener,8.0,4.0
matthew,26.0,26.0
horticultural,1.0,0.0
expertise,10.0,7.0
lucrative,4.0,2.0
cultivation,1.0,0.0
unfortunately,460.0,206.0
leads,164.0,193.0
confrontation,17.0,23.0
local,220.0,229.0
police,265.0,321.0
creditors,1.0,0.0
drug,107.0,101.0
baron,7.0,5.0
greenhouse,9.0,1.0
simultaneously,15.0,24.0
relationship,169.0,334.0
rapport,3.0,5.0
brenda,17.0,22.0
blethyn,5.0,5.0
viewer,248.0,343.0
emotionally,37.0,89.0
likeable,17.0,10.0
casting,148.0,153.0
minor,79.0,112.0
roles,214.0,347.0
excellent,196.0,836.0
outlandishly,2.0,0.0
eccentric,16.0,31.0
transformation,23.0,30.0
jacques,7.0,17.0
lord,68.0,97.0
grace's,1.0,2.0
romantic,147.0,285.0
highly,133.0,447.0
implausible,42.0,16.0
fit,108.0,120.0
tone,87.0,148.0
hydroponics,1.0,0.0
revolution,42.0,55.0
world,693.0,1145.0
cannabis,3.0,2.0
growing,51.0,93.0
sadly,178.0,109.0
swaps,1.0,2.0
gentle,17.0,43.0
humour,102.0,130.0
slapstick,36.0,50.0
ends,267.0,264.0
fake,194.0,49.0
plants,15.0,4.0
there's,956.0,604.0
hardly,187.0,113.0
anything,936.0,558.0
chase,133.0,91.0
masterson,4.0,30.0
always,588.0,1031.0
actually,1265.0,891.0
role,602.0,999.0
clunker,11.0,2.0
waste,665.0,51.0
ranges,8.0,7.0
mediocre,160.0,37.0
someone,726.0,432.0
shine,21.0,33.0
material,225.0,176.0
note,162.0,212.0
future,153.0,291.0
reference,49.0,47.0
luck,49.0,61.0
creature,108.0,61.0
clich,309.0,108.0
d,267.0,193.0
monster,212.0,95.0
loose,75.0,69.0
flick,376.0,214.0
kids,457.0,442.0
getting,458.0,357.0
knocked,25.0,15.0
man,1151.0,1597.0
rubber,34.0,13.0
suit,93.0,57.0
hearkens,1.0,2.0
days,278.0,361.0
paul,137.0,284.0
blaisdell,3.0,0.0
show,1457.0,1683.0
humor,274.0,362.0
palatable,6.0,4.0
plays,389.0,704.0
deadly,56.0,55.0
dull,344.0,70.0
straight,254.0,177.0
twist,164.0,145.0
won't,319.0,295.0
anymore,85.0,74.0
summary,58.0,30.0
explain,153.0,86.0
i'll,302.0,198.0
seemed,417.0,231.0
overdone,42.0,25.0
soap,82.0,61.0
opera,92.0,103.0
that's,1038.0,729.0
comment,168.0,174.0
hit,234.0,330.0
during,497.0,555.0
wait,209.0,165.0
what's,238.0,139.0
earthquake,9.0,2.0
gasp,14.0,4.0
dante's,11.0,2.0
peak,20.0,26.0
parts,253.0,321.0
butchered,13.0,3.0
slapped,11.0,7.0
can't,1069.0,714.0
poorly,316.0,32.0
borrowing,8.0,3.0
wonders,31.0,29.0
viewers,171.0,227.0
dumb,234.0,58.0
large,141.0,145.0
wooded,1.0,0.0
mountain,36.0,53.0
esque,8.0,5.0
backdrops,7.0,10.0
exist,106.0,56.0
downtown,6.0,12.0
la,122.0,145.0
ala,10.0,7.0
advise,30.0,15.0
forget,193.0,179.0
bond,42.0,107.0
wanna,60.0,22.0
nash,11.0,7.0
again,867.0,1081.0
coincidentally,5.0,6.0
wolf,34.0,21.0
quick,92.0,74.0
review,229.0,145.0
right,838.0,876.0
repugnant,5.0,4.0
rotting,12.0,4.0
roadkill,5.0,0.0
cow,22.0,4.0
sh,42.0,8.0
t,269.0,152.0
awful,768.0,87.0
urban,24.0,57.0
werewolf,110.0,21.0
acting,2101.0,1200.0
imaginable,23.0,12.0
gangly,1.0,1.0
nerd,20.0,7.0
high,542.0,510.0
school,427.0,381.0
drama,256.0,429.0
worse,619.0,114.0
kane,27.0,38.0
hodder,4.0,1.0
duped,7.0,5.0
playing,395.0,436.0
gigantic,14.0,13.0
f,193.0,84.0
cking,3.0,2.0
someone's,45.0,13.0
ensure,12.0,14.0
jason,78.0,73.0
voorhees,5.0,1.0
height,12.0,21.0
career,239.0,279.0
anyway,335.0,250.0
former,113.0,146.0
playmate,2.0,2.0
jaime,5.0,2.0
bergman,17.0,14.0
eventually,160.0,185.0
becomes,316.0,362.0
kind,788.0,612.0
crappy,104.0,17.0
cop,197.0,149.0
world's,33.0,38.0
looking,685.0,526.0
moments,374.0,468.0
near,215.0,210.0
rampant,15.0,12.0
nudity,225.0,87.0
okay,248.0,116.0
generally,131.0,97.0
ugly,137.0,53.0
black,495.0,477.0
blur,6.0,4.0
zipping,1.0,0.0
screen,589.0,666.0
we're,164.0,105.0
privileged,5.0,4.0
sequence,202.0,246.0
presented,99.0,120.0
resembles,26.0,26.0
motion,108.0,114.0
video,527.0,351.0
game,273.0,313.0
stages,11.0,20.0
playstation,4.0,0.0
cg,30.0,26.0
animation,148.0,304.0
primitive,21.0,22.0
hardcore,32.0,16.0
fanatics,6.0,5.0
surrounded,43.0,31.0
visual,107.0,154.0
vomit,22.0,7.0
www,13.0,24.0
residenthazard,3.0,1.0
com,38.0,71.0
inferior,20.0,15.0
created,116.0,168.0
david,169.0,288.0
selzer,1.0,0.0
harvey,21.0,24.0
bernhard,3.0,4.0
producer,109.0,125.0
concern,20.0,27.0
matrimony,2.0,0.0
named,170.0,203.0
michael,258.0,396.0
woods,109.0,94.0
karen,29.0,18.0
york,150.0,236.0
faye,14.0,4.0
grant,48.0,65.0
adopt,8.0,11.0
girl,698.0,656.0
delia,7.0,0.0
convent,9.0,6.0
re,221.0,214.0
elect,2.0,2.0
congressman,2.0,1.0
presides,1.0,2.0
financing,4.0,1.0
committee,10.0,3.0
inexplicable,21.0,14.0
deaths,60.0,36.0
happen,270.0,224.0
creates,38.0,80.0
wreak,8.0,2.0
havoc,19.0,9.0
metaphysical,7.0,9.0
stores,18.0,15.0
numerology,1.0,0.0
therapy,14.0,13.0
counselling,1.0,2.0
heal,9.0,10.0
yoga,3.0,0.0
tarots,1.0,0.0
destroyed,56.0,37.0
hires,16.0,14.0
eye,170.0,232.0
private,55.0,74.0
lerner,9.0,3.0
investigate,33.0,25.0
bizarre,148.0,108.0
events,165.0,280.0
displays,25.0,26.0
thrills,31.0,34.0
chills,15.0,24.0
creepy,151.0,154.0
gory,66.0,39.0
damien,4.0,4.0
dispatch,7.0,4.0
new,931.0,1194.0
eerie,20.0,56.0
murder,224.0,309.0
happening,99.0,88.0
killings,49.0,24.0
chief,49.0,73.0
excitement,51.0,59.0
lies,76.0,79.0
watching,1294.0,980.0
innocent,71.0,156.0
victim,106.0,90.0
middling,4.0,5.0
furthermore,35.0,24.0
protagonists,29.0,43.0
secondary,21.0,16.0
madison,4.0,7.0
mason,18.0,6.0
duncan,12.0,3.0
fraser,4.0,2.0
deceased,19.0,24.0
don,127.0,94.0
davis,41.0,123.0
army,130.0,98.0
captain,77.0,92.0
musical,158.0,279.0
score,205.0,310.0
taken,248.0,248.0
omen,26.0,5.0
iii,37.0,27.0
jerry,96.0,87.0
goldsmith,6.0,5.0
exclusively,13.0,11.0
followers,18.0,11.0
saga,18.0,30.0
picture,344.0,425.0
badly,263.0,44.0
directed,279.0,317.0
jorge,4.0,1.0
montesi,1.0,0.0
dominique,5.0,4.0
othenin,1.0,0.0
girard,1.0,0.0
versions,43.0,81.0
following,136.0,144.0
immensely,10.0,38.0
superior,53.0,104.0
'omen',1.0,0.0
gregory,13.0,17.0
peck,17.0,20.0
lee,173.0,146.0
remick,2.0,0.0
richard,173.0,214.0
donner,12.0,3.0
'damien',1.0,0.0
william,105.0,195.0
holden,14.0,3.0
taylor,42.0,86.0
'final,1.0,1.0
conflict',1.0,0.0
sam,106.0,115.0
neil,34.0,31.0
tisa,1.0,0.0
harrow,2.0,0.0
grahame,1.0,2.0
baker,32.0,46.0
rating,243.0,212.0
below,105.0,43.0
average,210.0,154.0
reasons,139.0,152.0
bo,60.0,14.0
derek,53.0,28.0
occasionally,59.0,69.0
job,399.0,722.0
immature,19.0,18.0
insecure,8.0,9.0
year,480.0,592.0
old,1075.0,1159.0
shots,263.0,208.0
greek,14.0,43.0
islandbut,1.0,0.0
peter,155.0,219.0
hooten,1.0,0.0
actor,553.0,582.0
brutus,1.0,0.0
played,502.0,758.0
caeser's,1.0,0.0
senate,2.0,5.0
proceedings,22.0,21.0
march,13.0,33.0
delivers,49.0,114.0
delightful,18.0,127.0
baritone,2.0,2.0
bellow,2.0,0.0
volume,17.0,10.0
whenever,75.0,65.0
speaks,50.0,51.0
preferably,7.0,4.0
bo's,7.0,2.0
fantasies,15.0,20.0
tame,30.0,24.0
today's,43.0,92.0
standards,91.0,85.0
bath,20.0,21.0
fully,80.0,130.0
clothed,4.0,2.0
skimpier,3.0,0.0
costumes,85.0,108.0
dreamgirls,7.0,0.0
despite,309.0,369.0
fistful,2.0,4.0
tony,60.0,178.0
wins,30.0,49.0
incredibly,189.0,115.0
broadway,35.0,82.0
jewel,11.0,18.0
crown,10.0,20.0
stage,144.0,211.0
musicals,17.0,56.0
cinematic,105.0,106.0
hands,174.0,169.0
fleshed,12.0,13.0
polished,15.0,25.0
worthwhile,51.0,33.0
transfers,4.0,3.0
basically,281.0,172.0
slavishly,1.0,0.0
faithful,33.0,48.0
version,480.0,530.0
inherent,11.0,17.0
weaknesses,14.0,25.0
intact,14.0,13.0
points,230.0,205.0
change,199.0,278.0
factor,55.0,58.0
lots,203.0,208.0
perhaps,383.0,442.0
closest,16.0,24.0
catchy,17.0,29.0
tunes,28.0,29.0
acclaimed,17.0,23.0
telling,141.0,150.0
less,544.0,483.0
dramatic,130.0,178.0
effie,6.0,0.0
jennifer,63.0,55.0
hudson,21.0,42.0
slick,22.0,26.0
technically,53.0,43.0
produced,149.0,125.0
surprisingly,79.0,146.0
thin,122.0,65.0
lacking,93.0,37.0
resonance,3.0,11.0
jamie,22.0,32.0
foxx's,5.0,1.0
svengali,2.0,0.0
manager,22.0,54.0
manipulate,7.0,10.0
acts,104.0,91.0
top,384.0,563.0
takes,476.0,637.0
seat,49.0,72.0
latter,76.0,94.0
portion,28.0,21.0
conveniently,20.0,7.0
tries,393.0,250.0
villain,158.0,136.0
having,654.0,636.0
business,138.0,192.0
beyonce,2.0,1.0
knowles,1.0,4.0
lovely,51.0,157.0
sings,24.0,60.0
perfectly,75.0,235.0
stuck,94.0,77.0
surface,49.0,57.0
glitz,4.0,6.0
anika,1.0,0.0
noni,3.0,6.0
rose,32.0,91.0
third,178.0,180.0
member,89.0,86.0
trio,22.0,33.0
literally,122.0,107.0
nothing,1460.0,674.0
entire,411.0,284.0
eddie,65.0,105.0
murphy,35.0,55.0
acquits,4.0,1.0
himself,466.0,600.0
singer,75.0,69.0
obviously,375.0,217.0
james,226.0,337.0
brown,47.0,76.0
meaty,2.0,7.0
ultimately,127.0,132.0
impact,51.0,137.0
foxx,20.0,14.0
oddly,49.0,30.0
withdrawn,1.0,4.0
bored,207.0,66.0
film's,247.0,279.0
biggest,149.0,113.0
selling,31.0,29.0
idol,12.0,14.0
contestant,16.0,6.0
winner,37.0,69.0
central,91.0,117.0
white,326.0,394.0
temperamental,2.0,6.0
booted,2.0,1.0
group,265.0,248.0
triumphant,3.0,7.0
closing,47.0,47.0
return,133.0,198.0
both,543.0,1120.0
sorry,289.0,102.0
ham,34.0,7.0
handedly,10.0,3.0
side,257.0,352.0
deserves,129.0,174.0
devotion,2.0,24.0
start,486.0,372.0
conducts,3.0,2.0
obnoxious,74.0,18.0
egotistical,5.0,11.0
self,332.0,279.0
centered,28.0,25.0
diva,4.0,8.0
interested,142.0,174.0
vested,4.0,0.0
